client_id,birth_date,gender,city,registration_date,income,employment_type,credit_score
1,1983-01-24,female,Almaty,2025-08-27,952246.00,salaried,572
2,1991-01-03,female,Almaty,2026-01-03,207824.00,salaried,807
3,1983-09-14,male,Almaty,2024-12-14,126814.00,self_employed,531
4,1996-04-25,male,Almaty,2025-09-10,281414.00,salaried,703
5,1997-01-24,female,Astana,2025-07-19,1147096.00,salaried,713
6,1996-11-20,female,Atyrau,2025-11-08,381629.00,salaried,555
7,1998-05-03,male,Taraz,2025-10-12,99647.00,unemployed,442
8,1972-03-12,female,Astana,2025-06-30,855911.00,self_employed,486
9,1979-03-15,female,Astana,2025-12-02,257772.00,retired,715
10,1995-01-08,female,Taraz,2024-08-04,155162.00,student,517
11,1966-10-23,female,Almaty,2024-09-28,534850.00,self_employed,684
12,2001-12-18,male,Astana,2024-08-12,1148490.00,entrepreneur,704
13,1961-03-17,female,Astana,2026-03-22,479950.00,entrepreneur,578
14,1982-10-03,male,Astana,2025-07-20,610785.00,self_employed,720
15,1970-01-22,male,Karaganda,2024-04-24,683054.00,self_employed,586
16,1996-03-15,female,Almaty,2025-06-03,1759279.00,entrepreneur,634
17,1966-11-10,male,Taraz,2026-02-19,388573.00,salaried,598
18,2001-09-01,male,Shymkent,2024-09-02,297301.00,salaried,705
19,2006-10-03,female,Almaty,2024-05-11,252574.00,salaried,792
20,1982-09-06,female,Almaty,2025-12-31,110923.00,unemployed,408
21,1995-11-21,female,Astana,2024-08-18,118354.00,unemployed,361
22,2005-01-19,female,Astana,2024-08-22,127540.00,self_employed,486
23,2005-01-28,female,Almaty,2025-07-06,472004.00,salaried,768
24,2002-10-19,female,Astana,2024-04-06,261680.00,student,588
25,2004-07-12,female,Astana,2024-03-03,944491.00,salaried,547
26,1992-06-26,male,Taraz,2024-05-23,379448.00,salaried,794
27,1991-05-15,female,Almaty,2024-02-21,116164.00,unemployed,581
28,1983-09-27,female,Almaty,2025-02-20,970170.00,salaried,641
29,1989-04-28,male,Astana,2024-09-28,577382.00,salaried,521
30,1965-08-10,male,Astana,2024-06-07,295353.00,retired,714
