loan_id,application_id,client_id,issue_date,product_name,loan_amount,interest_rate,term_months
1,1,130,2026-02-19,Auto loan,9987360.46,17.87,60
2,2,2714,2025-12-14,Credit card,1720776.20,32.22,36
3,6,1456,2025-06-26,POS loan,324029.06,18.64,12
4,7,448,2024-06-03,Micro loan,276033.06,31.54,6
5,9,4851,2024-10-29,POS loan,915096.66,13.64,6
6,14,530,2024-05-04,Auto loan,7524861.52,13.53,48
7,17,3993,2025-08-08,POS loan,724098.11,23.67,24
8,18,4139,2026-03-20,Credit card,1655412.13,24.98,12
9,21,1260,2026-04-17,Micro loan,133476.66,31.90,12
10,24,3410,2025-09-09,Cash loan,904537.62,27.24,18
11,25,2637,2025-05-15,POS loan,735077.43,23.21,12
12,26,4774,2026-02-27,Auto loan,2663430.49,15.19,48
13,32,1053,2025-10-04,Cash loan,1897887.62,24.98,12
14,35,2098,2024-08-08,Auto loan,4812761.52,13.33,48
15,36,3540,2025-04-22,POS loan,950924.50,24.14,12
16,38,1066,2025-02-02,Auto loan,11825267.68,14.86,36
17,39,3950,2024-11-29,Cash loan,2619291.58,33.12,24
18,40,2454,2025-12-26,Credit card,943658.88,35.22,36
19,44,3220,2025-12-28,Micro loan,479011.24,28.87,6
20,45,2237,2025-04-30,Cash loan,2495830.01,20.79,12
21,46,981,2026-02-12,Micro loan,296259.60,40.26,6
22,49,4693,2025-01-21,Auto loan,14330586.13,16.07,36
23,55,590,2024-07-06,Credit card,228012.92,30.68,24
24,59,4753,2026-02-26,Cash loan,1446402.57,32.96,36
25,60,4958,2024-12-13,POS loan,852079.23,18.55,12
26,61,136,2024-03-14,Credit card,404708.07,35.50,36
27,63,3186,2024-09-30,Cash loan,2085225.83,30.70,24
28,64,455,2024-11-10,Micro loan,431626.60,39.36,3
29,67,2019,2025-09-11,POS loan,292543.11,11.41,12
30,69,4458,2025-02-12,POS loan,783860.52,15.66,6
31,71,303,2025-05-08,Cash loan,760034.73,29.64,36
32,74,3918,2024-01-12,Cash loan,527336.27,22.06,36
33,75,1777,2026-03-09,Credit card,308579.33,37.17,24
34,76,1055,2025-02-11,POS loan,448051.84,17.19,18
35,77,2145,2025-03-10,Cash loan,340278.67,32.29,36
36,81,518,2026-01-11,Credit card,1665698.36,30.02,24
37,82,697,2025-05-09,POS loan,765187.32,19.08,12
38,84,1063,2025-12-18,Credit card,1006613.55,25.91,36
39,87,1826,2026-03-28,Cash loan,615488.79,18.06,24
40,88,3595,2025-06-25,Credit card,295552.68,35.61,36
41,89,1589,2025-01-03,Micro loan,414353.70,36.52,6
42,90,1284,2025-03-06,Credit card,748574.50,30.39,12
43,91,4087,2024-10-01,POS loan,621659.66,16.28,12
44,92,3727,2025-12-07,Cash loan,2156807.50,29.38,12
45,93,81,2024-05-13,Micro loan,315155.65,39.35,12
46,94,404,2025-06-28,Credit card,1151058.07,26.12,12
47,96,2773,2025-07-09,Cash loan,172775.17,30.59,24
48,97,87,2024-04-23,Cash loan,2158097.61,28.98,18
49,99,2078,2025-06-04,POS loan,406098.24,16.66,6
50,100,4490,2025-03-14,POS loan,843874.28,26.86,18
51,102,1917,2024-11-13,Micro loan,435602.23,34.49,12
52,105,1395,2025-06-08,Cash loan,350966.92,25.53,36
53,106,1486,2024-08-11,POS loan,443219.83,11.55,24
54,107,4086,2024-09-08,Cash loan,1172818.55,27.40,24
55,109,32,2024-09-21,POS loan,771044.91,19.17,18
56,110,3918,2025-10-20,Credit card,340214.79,32.02,36
57,111,2210,2024-12-29,Micro loan,463845.47,30.53,3
58,116,2868,2025-06-29,POS loan,647407.92,11.86,24
59,121,4625,2024-12-03,Cash loan,2103023.92,28.44,18
60,128,234,2024-03-09,POS loan,73018.55,22.53,6
61,129,2873,2026-01-30,Cash loan,923342.58,25.33,12
62,133,3845,2024-04-17,Micro loan,208505.84,29.06,6
63,134,2024,2024-03-05,Auto loan,14736620.63,22.80,36
64,137,4795,2025-11-26,Credit card,1282298.92,25.46,12
65,138,1282,2025-06-08,Cash loan,2749031.75,26.92,36
66,139,3305,2024-01-03,Credit card,1244378.83,32.45,12
67,146,380,2025-03-31,Auto loan,11648015.51,21.51,60
68,147,4996,2026-01-25,Micro loan,55931.56,46.64,12
69,153,4515,2026-03-02,Micro loan,467489.10,43.98,3
70,154,2587,2025-07-28,Cash loan,2157928.56,21.85,36
71,155,4531,2025-04-23,Credit card,897069.21,34.40,12
72,157,4511,2026-04-11,Cash loan,893898.70,31.55,18
73,158,2775,2025-10-02,Credit card,310856.53,32.47,12
74,160,197,2024-12-28,Cash loan,812377.15,31.80,36
75,161,3349,2025-09-16,POS loan,425651.68,26.08,18
76,162,1053,2025-07-05,Cash loan,1759071.02,33.70,36
77,164,3961,2025-06-27,Micro loan,247424.25,41.50,9
78,166,4699,2024-07-02,Cash loan,859104.87,18.14,18
79,167,3928,2024-09-04,Cash loan,1460578.14,26.53,18
80,168,4640,2024-02-07,Micro loan,572244.39,38.20,9
81,169,1768,2024-02-08,POS loan,466640.93,19.51,6
82,170,4112,2024-08-03,Micro loan,454462.86,42.52,6
83,171,4227,2024-05-16,POS loan,309155.62,12.00,24
