application_id,client_id,application_date,product_name,requested_amount,status
1,130,2026-02-15,Auto loan,13192966.00,approved
2,2714,2025-12-05,Credit card,1954752.00,approved
3,4592,2024-09-09,POS loan,1104801.00,rejected
4,2549,2025-04-02,Auto loan,2939149.00,rejected
5,4721,2025-12-19,Micro loan,286315.00,rejected
6,1456,2025-06-22,POS loan,324312.00,approved
7,448,2024-06-02,Micro loan,362642.00,approved
8,666,2025-03-05,Auto loan,13812455.00,rejected
9,4851,2024-10-23,POS loan,983453.00,approved
10,4304,2025-11-11,Auto loan,10721090.00,pending
11,4666,2025-06-13,Auto loan,5611283.00,rejected
12,643,2024-08-18,Micro loan,371382.00,rejected
13,2381,2026-03-09,Credit card,1746650.00,approved
14,530,2024-04-27,Auto loan,7625668.00,approved
15,1417,2024-08-23,Micro loan,378324.00,rejected
16,424,2024-03-30,Credit card,1066003.00,approved
17,3993,2025-08-07,POS loan,891017.00,approved
18,4139,2026-03-11,Credit card,1952500.00,approved
19,2393,2026-02-23,Micro loan,547435.00,rejected
20,4672,2024-03-28,Auto loan,11293827.00,rejected
21,1260,2026-04-09,Micro loan,171710.00,approved
22,4507,2026-01-05,Credit card,148740.00,pending
23,799,2026-01-30,Cash loan,2266486.00,rejected
24,3410,2025-09-02,Cash loan,914222.00,approved
25,2637,2025-05-15,POS loan,763440.00,approved
26,4774,2026-02-24,Auto loan,2717135.00,approved
27,3257,2025-03-31,Cash loan,3074630.00,pending
28,115,2025-11-10,POS loan,53281.00,rejected
29,2893,2025-06-11,Credit card,1987879.00,rejected
30,1284,2025-11-05,Cash loan,2974391.00,rejected
31,2401,2026-01-07,Credit card,926440.00,rejected
32,1053,2025-09-26,Cash loan,2315411.00,approved
33,368,2024-12-19,Cash loan,671341.00,rejected
34,1273,2026-01-30,POS loan,427574.00,rejected
35,2098,2024-07-29,Auto loan,5942906.00,approved
36,3540,2025-04-19,POS loan,988466.00,approved
37,4078,2025-03-30,Cash loan,3179062.00,rejected
38,1066,2025-02-01,Auto loan,14902345.00,approved
39,3950,2024-11-26,Cash loan,2941795.00,approved
40,2454,2025-12-26,Credit card,1017720.00,approved
41,2104,2024-01-02,POS loan,1051144.00,approved
42,1494,2025-06-06,Cash loan,3457158.00,approved
43,4723,2025-09-02,Cash loan,1258136.00,pending
44,3220,2025-12-25,Micro loan,551704.00,approved
45,2237,2025-04-30,Cash loan,3295645.00,approved
46,981,2026-02-07,Micro loan,333909.00,approved
47,3017,2025-02-03,POS loan,563760.00,rejected
48,414,2024-08-11,Cash loan,3325794.00,approved
49,4693,2025-01-15,Auto loan,16823965.00,approved
50,4359,2025-04-01,Auto loan,16922555.00,approved
51,1695,2024-11-23,Auto loan,9961607.00,rejected
52,767,2026-02-03,Cash loan,2243876.00,approved
53,1835,2025-10-30,Credit card,1802242.00,pending
54,3163,2024-10-01,Micro loan,465367.00,rejected
55,590,2024-07-06,Credit card,284900.00,approved
56,4977,2024-07-28,Credit card,1505467.00,rejected
57,880,2026-02-28,Credit card,469213.00,rejected
58,3616,2024-12-07,POS loan,675188.00,approved
59,4753,2026-02-19,Cash loan,1485312.00,approved
60,4958,2024-12-10,POS loan,890744.00,approved
61,136,2024-03-04,Credit card,521216.00,approved
62,968,2026-03-22,Micro loan,406127.00,pending
63,3186,2024-09-22,Cash loan,2290846.00,approved
64,455,2024-11-03,Micro loan,555786.00,approved
65,1676,2026-01-28,Credit card,1704631.00,rejected
66,1601,2025-12-05,Auto loan,14559838.00,approved
67,2019,2025-09-10,POS loan,385736.00,approved
68,1337,2026-02-22,Micro loan,362296.00,rejected
69,4458,2025-02-05,POS loan,1033172.00,approved
70,2742,2025-01-04,Cash loan,2636066.00,rejected
71,303,2025-04-30,Cash loan,913979.00,approved
72,4958,2025-01-28,Credit card,1361062.00,rejected
73,2668,2024-10-26,Auto loan,5071584.00,pending
74,3918,2024-01-10,Cash loan,683903.00,approved
75,1777,2026-03-05,Credit card,319926.00,approved
76,1055,2025-02-04,POS loan,459019.00,approved
77,2145,2025-03-06,Cash loan,419855.00,approved
78,4465,2025-07-02,Cash loan,1658716.00,approved
79,685,2025-12-10,Cash loan,2698157.00,pending
80,4312,2024-09-29,Cash loan,2773134.00,rejected
81,518,2026-01-09,Credit card,1770375.00,approved
82,697,2025-04-29,POS loan,814595.00,approved
83,4916,2024-06-09,Cash loan,3055481.00,rejected
84,1063,2025-12-08,Credit card,1266796.00,approved
85,212,2025-03-23,Cash loan,3437641.00,pending
86,1212,2025-07-14,Auto loan,13970508.00,approved
87,1826,2026-03-27,Cash loan,752803.00,approved
88,3595,2025-06-23,Credit card,317831.00,approved
89,1589,2024-12-25,Micro loan,459854.00,approved
